Key,en,zh,ja
"Enter a hex code (""#ff0000"") or named color (""red"").","Enter hex or color name","输入十六进制代码（如“#ff0000”）或颜色名称（如“red”）","16進ｺｰﾄﾞか色名入力"
"Load Color Palette","Load Palette","加载调色板","ﾊﾟﾚｯﾄ読込"
"Save Color Palette","Save Palette","保存调色板","ﾊﾟﾚｯﾄ保存"
"The changes to this palette have not been saved to a file.","Palette changes unsaved","此调色板的更改尚未保存到文件。","ﾊﾟﾚｯﾄ変更未保存"
"Save","Save","保存","保存"
"Save the current color palette to reuse later.","Save palette for later","保存当前调色板以便以后重复使用","ﾊﾟﾚｯﾄ保存"
"Save As","Save As","另存为","名前保存"
"Save the current color palette as a new to reuse later.","Save palette as new","将当前调色板另存为新调色板以便以后重复使用","ﾊﾟﾚｯﾄ新規保存"
"Load","Load","加载","読込"
"Load existing color palette.","Load palette","加载现有的调色板","ﾊﾟﾚｯﾄ読込"
"Clear","Clear","清除","ｸﾘｱ"
"Clear the currently loaded color palettes in the picker.","Clear palette in picker","清除选取器中当前加载的调色板","ﾋﾟｯｶｰのﾊﾟﾚｯﾄｸﾘｱ"
"Pick","Pick","选取","選択"
"Select a picker shape.","Select picker shape","选择选取器形状","ﾋﾟｯｶｰ形状選択"
"Select a picker mode.","Select picker mode","选择选取器模式","ﾋﾟｯｶｰﾓｰﾄﾞ選択"
"Colorized Sliders","Color Sliders","彩色滑块","ｶﾗｰｽﾗｲﾀﾞｰ"
"Hexadecimal Values","Hex Values","十六进制值","16進値"
"Hex code or named color","Hex or color name","十六进制代码或颜色名称","16進か色名"
"Swatches","Swatches","色板","ｽｳｫｯﾁ"
"Show all options available.","Show all options","显示所有可用选项","全ｵﾌﾟｼｮﾝ表示"
"Recent Colors","Recent Colors","最近使用的颜色","最近の色"
"Add current color as a preset.","Add as preset","将当前颜色添加为预设","ﾌﾟﾘｾｯﾄ追加"
"Screen Recording permission missing!","Screen Rec. missing!","缺少屏幕录制权限！","画面録画権限なし！"
"Screen Recording permission is required to pick colors from the other application windows.\nClick here to request access...","Screen Rec. needed for other windows.\nClick to request...","需要屏幕录制权限才能从其他应用程序窗口中取色。\n点击此处请求访问...","他ｳｨﾝﾄﾞｳには画面録画権限必要\nｸﾘｯｸで申請"
"Color: %s\nLMB: Apply color","Color: %s\nLMB: Apply","颜色：%s\n左键：应用颜色","色：%s\nLMB：適用"
"Color: %s\nLMB: Apply color\nRMB: Remove preset","Color: %s\nLMB: Apply\nRMB: Remove","颜色：%s\n左键：应用颜色\n右键：移除预设","色：%s\nLMB：適用\nRMB：削除"
"Color: %s","Color: %s","颜色：%s","色：%s"
"HSV Rectangle","HSV Rectangle","HSV矩形","HSV矩形"
"OK HS Rectangle","OK HS Rectangle","OK HS矩形","OK HS矩形"
"OK HL Rectangle","OK HL Rectangle","OK HL矩形","OK HL矩形"
"HSV Wheel","HSV Wheel","HSV色轮","HSVﾎｲｰﾙ"
"VHS Circle","VHS Circle","VHS圆形","VHSｻｰｸﾙ"
"OKHSL Circle","OKHSL Circle","OKHSL圆形","OKHSLｻｰｸﾙ"
"Alert!","Alert!","警告！","警告！"
"Please Confirm...","Confirm...","请确认...","確認..."
"Network","Network","网络","ﾈｯﾄﾜｰｸ"
"File ""%s"" already exists.\nDo you want to overwrite it?","File ""%s"" exists.\nOverwrite?","文件“%s”已存在。\n是否要覆盖它？","ﾌｧｲﾙ「%s」存在\n上書?"
"Open","Open","打开","開く"
"Select Current Folder","Select Current","选择当前文件夹","現在選択"
"Select This Folder","Select This","选择此文件夹","これ選択"
"Copy Path","Copy Path","复制路径","ﾊﾟｽ複写"
"Delete","Delete","删除","削除"
"New Folder...","New Folder...","新建文件夹...","新ﾌｫﾙﾀﾞ"
"Refresh","Refresh","刷新","更新"
"Open in File Manager","Open in FM","在文件管理器中打开","FMで開く"
"Show in File Manager","Show in FM","在文件管理器中显示","FMで表示"
"Show Package Contents","Show Package","显示软件包内容","ﾊﾟｯｹｰｼﾞ表示"
"You don't have permission to access contents of this folder.","No permission for folder","您没有权限访问此文件夹的内容。","ﾌｫﾙﾀﾞ権限なし"
"All Recognized","All Recognized","所有可识别","全認識"
"All Files","All Files","所有文件","全ﾌｧｲﾙ"
"Open a File","Open File","打开文件","ﾌｧｲﾙ開"
"Open File(s)","Open File(s)","打开文件（多个）","ﾌｧｲﾙ開(複数)"
"Open a Directory","Open Directory","打开目录","ﾃﾞｨﾚｸﾄﾘ開"
"Open a File or Directory","Open File/Dir","打开文件或目录","ﾌｧｲﾙ/ﾃﾞｨﾚｸﾄﾘ開"
"Save a File","Save File","保存文件","ﾌｧｲﾙ保存"
"Go to previous folder.","Prev folder","转到上一个文件夹","前ﾌｫﾙﾀﾞ"
"Go to next folder.","Next folder","转到下一个文件夹","次ﾌｫﾙﾀﾞ"
"Go to parent folder.","Parent folder","转到父文件夹","親ﾌｫﾙﾀﾞ"
"Path:","Path:","路径：","ﾊﾟｽ："
"Drive","Drive","驱动器","ﾄﾞﾗｲﾌﾞ"
"Refresh files.","Refresh","刷新文件","更新"
"(Un)favorite current folder.","(Un)favorite","（取消）收藏当前文件夹","お気に入り切替"
"Create a new folder.","New folder","创建新文件夹","新ﾌｫﾙﾀﾞ"
"Favorites:","Favorites:","收藏夹：","お気に入り："
"Recent:","Recent:","最近：","最近："
"Directories & Files:","Dirs & Files:","目录和文件：","ﾃﾞｨﾚｸﾄﾘ&ﾌｧｲﾙ："
"Toggle the visibility of hidden files.","Toggle hidden","切换隐藏文件的可见性","隠し切替"
"View items as a grid of thumbnails.","Grid view","以缩略图网格查看项目","ｸﾞﾘｯﾄﾞ表示"
"View items as a list.","List view","以列表查看项目","ﾘｽﾄ表示"
"Toggle the visibility of the filter for file names.","Toggle filter","切换文件名称过滤器的可见性","ﾌｨﾙﾀ切替"
"Sort files","Sort files","排序文件","並替"
"Sort by Name (Ascending)","Sort by Name ↑","按名称排序（升序）","名前順↑"
"Sort by Name (Descending)","Sort by Name ↓","按名称排序（降序）","名前順↓"
"Sort by Type (Ascending)","Sort by Type ↑","按类型排序（升序）","種類順↑"
"Sort by Type (Descending)","Sort by Type ↓","按类型排序（降序）","種類順↓"
"Sort by Modified Time (Newest First)","Sort by Mod. Newest","按修改时间排序（最新优先）","更新日時新しい順"
"Sort by Modified Time (Oldest First)","Sort by Mod. Oldest","按修改时间排序（最旧优先）","更新日時古い順"
"Filter:","Filter:","过滤器：","ﾌｨﾙﾀ："
"Filename Filter:","Filename Filter:","文件名过滤器：","ﾌｧｲﾙ名ﾌｨﾙﾀ："
"File:","File:","文件：","ﾌｧｲﾙ："
"Delete the selected file?\nDepending on your filesystem configuration, the files will either be moved to the system trash or deleted permanently.","Delete selected?\n(Moved to trash or permanently)","删除所选文件？\n根据您的文件系统配置，文件将被移动到系统回收站或永久删除。","選択削除？\n(ｺﾞﾐ箱or完全削除)"
"Create Folder","Create Folder","创建文件夹","ﾌｫﾙﾀﾞ作成"
"Name:","Name:","名称：","名前："
"Could not create folder.","Create failed","无法创建文件夹。","作成失敗"
"Invalid extension, or empty filename.","Invalid ext or empty name","扩展名无效或文件名为空。","無効拡張子か空名"
"connection to %s (%s) port %d","Conn. to %s(%s) p%d","连接到 %s (%s) 端口 %d","%s(%s) p%d接続"
"connection from %s (%s) port %d","Conn. from %s(%s) p%d","来自 %s (%s) 端口 %d 的连接","%s(%s) p%dから接続"
"Zoom Out","Zoom Out","缩小","縮小"
"Zoom Reset","Zoom Reset","重置缩放","拡大ﾘｾｯﾄ"
"Zoom In","Zoom In","放大","拡大"
"Toggle the visual grid.","Toggle grid","切换视觉网格","ｸﾞﾘｯﾄﾞ切替"
"Toggle snapping to the grid.","Toggle snap","切换网格吸附","ｽﾅｯﾌﾟ切替"
"Change the snapping distance.","Snap distance","更改吸附距离","ｽﾅｯﾌﾟ距離"
"Toggle the graph minimap.","Toggle minimap","切换图形缩略图","ﾐﾆﾏｯﾌﾟ切替"
"Automatically arrange selected nodes.","Arrange nodes","自动排列所选节点","ﾉｰﾄﾞ配置"
"graph node %s (%s)","node %s(%s)","图形节点 %s (%s)","ﾉｰﾄﾞ%s(%s)"
"slot %d of %d","slot %d/%d","插槽 %d / %d","ｽﾛｯﾄ%d/%d"
"input port, type: %s","in port: %s","输入端口，类型：%s","入力ﾎﾟｰﾄ:%s"
"input port, type: %d","in port: %d","输入端口，类型：%d","入力ﾎﾟｰﾄ:%d"
"no connections","no conn.","无连接","接続なし"
"output port, type: %s","out port: %s","输出端口，类型：%s","出力ﾎﾟｰﾄ:%s"
"output port, type: %d","out port: %d","输出端口，类型：%d","出力ﾎﾟｰﾄ:%d"
"currently selecting target port","selecting target","当前正在选择目标端口","ﾀｰｹﾞｯﾄ選択中"
"has %d slots","%d slots","有 %d 个插槽","%dｽﾛｯﾄ"
"Edit Input Port Connection","Edit In Port","编辑输入端口连接","入力ﾎﾟｰﾄ編集"
"Edit Output Port Connection","Edit Out Port","编辑输出端口连接","出力ﾎﾟｰﾄ編集"
"Follow Input Port Connection","Follow In Port","跟随输入端口连接","入力ﾎﾟｰﾄﾌｫﾛｰ"
"Follow Output Port Connection","Follow Out Port","跟随输出端口连接","出力ﾎﾟｰﾄﾌｫﾛｰ"
", in slot %d of graph node %s (%s)",", slot%d node%s(%s)","，在图形节点 %s (%s) 的插槽 %d 中",", ｽﾛｯﾄ%d ﾉｰﾄﾞ%s(%s)"
"Same as Layout Direction","Same as Layout","与布局方向相同","ﾚｲｱｳﾄ同"
"Auto-Detect Direction","Auto-Detect","自动检测方向","自動検出"
"Left-to-Right","Left-to-Right","从左到右","左→右"
"Right-to-Left","Right-to-Left","从右到左","右→左"
"Left-to-Right Mark (LRM)","LRM","从左到右标记 (LRM)","LRM"
"Right-to-Left Mark (RLM)","RLM","从右到左标记 (RLM)","RLM"
"Start of Left-to-Right Embedding (LRE)","LRE","从左到右嵌入开始 (LRE)","LRE"
"Start of Right-to-Left Embedding (RLE)","RLE","从右到左嵌入开始 (RLE)","RLE"
"Start of Left-to-Right Override (LRO)","LRO","从左到右覆盖开始 (LRO)","LRO"
"Start of Right-to-Left Override (RLO)","RLO","从右到左覆盖开始 (RLO)","RLO"
"Pop Direction Formatting (PDF)","PDF","弹出方向格式化 (PDF)","PDF"
"Arabic Letter Mark (ALM)","ALM","阿拉伯字母标记 (ALM)","ALM"
"Left-to-Right Isolate (LRI)","LRI","从左到右隔离 (LRI)","LRI"
"Right-to-Left Isolate (RLI)","RLI","从右到左隔离 (RLI)","RLI"
"First Strong Isolate (FSI)","FSI","首个强字符隔离 (FSI)","FSI"
"Pop Direction Isolate (PDI)","PDI","弹出方向隔离 (PDI)","PDI"
"Zero-Width Joiner (ZWJ)","ZWJ","零宽连字 (ZWJ)","ZWJ"
"Zero-Width Non-Joiner (ZWNJ)","ZWNJ","零宽非连字 (ZWNJ)","ZWNJ"
"Word Joiner (WJ)","WJ","词语连接符 (WJ)","WJ"
"Soft Hyphen (SHY)","SHY","软连字符 (SHY)","SHY"
"Emoji & Symbols","Emoji & Symbols","表情符号和符号","絵文字&記号"
"Cut","Cut","剪切","切取"
"Copy","Copy","复制","複写"
"Paste","Paste","粘贴","貼付"
"Select All","Select All","全选","全選択"
"Undo","Undo","撤销","取消"
"Redo","Redo","重做","再実行"
"Text Writing Direction","Text Direction","文本书写方向","文字方向"
"Display Control Characters","Display Ctrl","显示控制字符","制御表示"
"Insert Control Character","Insert Ctrl","插入控制字符","制御挿入"
"BiliMusic","BiliMusic","BiliMusic","BiliMusic"
"账号","Account","账号","ｱｶｳﾝﾄ"
"常规","General","常规","一般"
"外观","Appearance","外观","外観"
"储存","Storage","储存","保存"
"本地导入","Local Import","本地导入","ﾛｰｶﾙ取込"
"BV•AU号","BV/AU No.","BV•AU号","BV/AU番"
"本地文件","Local File","本地文件","ﾛｰｶﾙﾌｧｲﾙ"
"未知","Unknown","未知","不明"
"...","...","...","..."
"请选择收藏夹","Select fav folder","请选择收藏夹","お気に入り選択"
"收藏","Favorite","收藏","お気に入り"
"取消收藏","Unfavorite","取消收藏","解除"
"无题","Untitled","无题","無題"
"佚名","Anonymous","佚名","佚名"
"失败","Failed","失败","失敗"
"请先下载音频再下载封面","DL audio first","请先下载音频再下载封面","音声先DL"
"封面下载","Cover DL","封面下载","ｶﾊﾞｰDL"
"正在获取封面...","Getting cover...","正在获取封面...","ｶﾊﾞｰ取得中..."
"正在保存封面...","Saving cover...","正在保存封面...","ｶﾊﾞｰ保存中..."
"完成","Done","完成","完了"
"封面已更新","Cover updated","封面已更新","ｶﾊﾞｰ更新"
"封面保存失败","Cover save failed","封面保存失败","ｶﾊﾞｰ保存失敗"
"封面获取失败","Cover fetch failed","封面获取失败","ｶﾊﾞｰ取得失敗"
"音频下载","Audio DL","音频下载","音声DL"
"正在获取音频信息...","Getting audio info...","正在获取音频信息...","音声情報取得中..."
"音频下载失败","Audio DL failed","音频下载失败","音声DL失敗"
"正在迁移封面...","Migrating cover...","正在迁移封面...","ｶﾊﾞｰ移行中..."
"正在迁移字幕...","Migrating subs...","正在迁移字幕...","字幕移行中..."
"音频已更新","Audio updated","音频已更新","音声更新"
"获取信息","Get Info","获取信息","情報取得"
"正在获取描述...","Getting desc...","正在获取描述...","説明取得中..."
"获取信息失败","Get info failed","获取信息失败","情報取得失敗"
"描述已更新","Desc updated","描述已更新","説明更新"
"正在下载音频文件...","DL audio file...","正在下载音频文件...","音声ﾌｧｲﾙDL中..."
"音频文件处理完成","Audio done","音频文件处理完成","音声処理完了"
"已找到","Found","已找到","発見"
"首歌曲","songs","首歌曲","曲"
"清理封面缓存(%.2fMB)","Clear cover cache(%.2fMB)","清理封面缓存(%.2fMB)","ｶﾊﾞｰｷｬｯｼｭ削除(%.2fMB)"
"清理歌词缓存(%.2fMB)","Clear lyrics cache(%.2fMB)","清理歌词缓存(%.2fMB)","歌詞ｷｬｯｼｭ削除(%.2fMB)"
"语言","Language","语言","げんご"
"全选","Select All","全选","全選択"
"取消全选","Deselect All","取消全选","選択解除"
"删除","Delete","删除","削除"
"下载","Download","下载","ダウンロード"
"属性","Properties","属性","プロパティ"
"下载失败：无视频信息","Download failed: No video info","下载失败：无视频信息","ダウンロード失敗：動画情報なし"
"本地文件，无需下载","Local file, no need to download","本地文件，无需下载","ローカルファイル、ダウンロード不要"
"下载失败：无效链接","Download failed: Invalid link","下载失败：无效链接","ダウンロード失敗：無効なリンク"
"正在获取视频信息...","Getting video info...","正在获取视频信息...","動画情報取得中..."
"获取视频信息失败","Failed to get video info","获取视频信息失败","動画情報取得失敗"
"信息获取成功，开始下载音频...","Info retrieved, starting audio download...","信息获取成功，开始下载音频...","情報取得成功、音声ダウンロード開始..."
"音频下载失败","Audio download failed","音频下载失败","音声ダウンロード失敗"
"音频下载完成，正在下载封面...","Audio download complete, downloading cover...","音频下载完成，正在下载封面...","音声ダウンロード完了、カバー画像ダウンロード中..."
"更新收藏夹失败","Failed to update favorites","更新收藏夹失败","お気に入り更新失敗"
"封面处理完成","Cover processing complete","封面处理完成","カバー処理完了"
"正在下载字幕...","Downloading subtitles...","正在下载字幕...","字幕ダウンロード中..."
"下载完成","Download complete","下载完成","ダウンロード完了"
"未命名","Untitled","未命名","無題"
" - 副本"," - Copy"," - 副本"," - コピー"
"更多相关内容","More related content","更多相关内容","関連するその他の内容"
"自定义小窗播放主题","Customize PiP Theme","自定义小窗播放主题","カスタムウィンドウ再生テーマ"
"小窗播放移动平滑插值","PiP Smooth Motion Interpolation","小窗播放移动平滑插值","PiP スムーズモーション補間"
"WaveCrease","WaveCrease","波浪起伏","ウェーブクリーズ テーマ"
"RecordEdgeLines","RecordEdgeLines","轮廓录纹","録画輪郭線"
"Dark","Dark","暗黑","ダーク"
"Atrovirens","Atrovirens","墨绿","濃緑"
"Cloud Nine","Cloud Nine","九霄云境","クラウドナイン"
"Light","Light","明亮","ライト"
"MistLilac","Mist Lilac","雾丁香","ミストライラック"
